Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE ROCHESTER RESIDENCES,"2,660,000","1,862.17","1,428",Dec-22,ROCHESTER DRIVE,Resale,Strata,173,"15,376",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,16 to 20
THOMSON THREE,"1,900,000","1,044.11","1,820",Dec-22,BRIGHT HILL DRIVE,Resale,Strata,97,"19,588",-,Apartment,1,99 yrs lease commencing from 2012,20,Rest of Central Region,11 to 15
THE DAFFODIL,"950,000",688.9,"1,379",Dec-22,UPPER EAST COAST ROAD,Resale,Strata,64,"14,844",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
ROYALGREEN,"2,160,000",775.01,"2,787",Dec-22,ANAMALAI AVENUE,Resale,Strata,72,"30,000",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE RICHMOND,"2,060,000","1,582.31","1,302",Dec-22,ST. MICHAEL'S ROAD,Resale,Strata,147,"14,014",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
MAYSPRINGS,"1,288,000","1,270.15","1,014",Dec-22,PETIR ROAD,Resale,Strata,118,"10,915",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,06 to 10
QUEENS PEAK,"2,180,000","1,001.05","2,178",Dec-22,DUNDEE ROAD,Resale,Strata,93,"23,441",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,36 to 40
MEADOWS @ PEIRCE,"2,700,000","1,851.41","1,458",Dec-22,UPPER THOMSON ROAD,Resale,Strata,172,"15,698",-,Condominium,1,Freehold,26,Outside Central Region,01 to 05
TRELLIS TOWERS,"2,750,000","1,485.43","1,851",Dec-22,LORONG 1 TOA PAYOH,Resale,Strata,138,"19,928",-,Condominium,1,Freehold,12,Rest of Central Region,16 to 20
STARS OF KOVAN,"1,400,000",753.48,"1,858",Dec-22,UPPER SERANGOON ROAD,Resale,Strata,70,"20,000",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
THE GLADES,"775,000",505.91,"1,532",Dec-22,BEDOK RISE,Resale,Strata,47,"16,489",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,01 to 05
SHELFORD 23,"3,330,000","1,959.05","1,700",Dec-22,SHELFORD ROAD,Resale,Strata,182,"18,297",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
CASTLE GREEN,"1,600,000","1,410.08","1,135",Dec-22,YIO CHU KANG ROAD,Resale,Strata,131,"12,214",-,Condominium,1,99 yrs lease commencing from 1993,26,Outside Central Region,11 to 15
TRE RESIDENCES,"1,273,000",764.24,"1,666",Dec-22,GEYLANG EAST AVENUE 1,Resale,Strata,71,"17,930",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15
ASCENTIA SKY,"4,600,000","2,561.83","1,796",Dec-22,ALEXANDRA VIEW,Resale,Strata,238,"19,328",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,41 to 45
MELOSA,"640,000",441.32,"1,450",Dec-22,LORONG 28 GEYLANG,Resale,Strata,41,"15,610",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
THE HYDE,"1,830,000",602.78,"3,036",Dec-22,BALMORAL ROAD,Resale,Strata,56,"32,679",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
PARC ROSEWOOD,"835,888",753.48,"1,109",Dec-22,ROSEWOOD DRIVE,Resale,Strata,70,"11,941",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
THE ROCHESTER RESIDENCES,"3,120,000","1,700.71","1,835",Dec-22,ROCHESTER DRIVE,Resale,Strata,158,"19,747",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,31 to 35
GUILIN VIEW,"1,300,000","1,259.39","1,032",Dec-22,BUKIT BATOK STREET 52,Resale,Strata,117,"11,111",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,21 to 25
ECO,"905,000",656.6,"1,378",Dec-22,BEDOK SOUTH AVENUE 3,Resale,Strata,61,"14,836",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
MARINA BAY RESIDENCES,"2,300,000","1,065.64","2,158",Dec-22,MARINA BOULEVARD,Resale,Strata,99,"23,232",-,Condominium,1,99 yrs lease commencing from 2005,01,Core Central Region,31 to 35
THE TROPICA,"1,420,000","1,227.1","1,157",Dec-22,TAMPINES AVENUE 1,Resale,Strata,114,"12,456",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
THE SAIL @ MARINA BAY,"1,500,000",861.12,"1,742",Dec-22,MARINA BOULEVARD,Resale,Strata,80,"18,750",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,11 to 15
CASPIAN,"1,718,000","1,237.86","1,388",Dec-22,LAKESIDE DRIVE,Resale,Strata,115,"14,939",-,Condominium,1,99 yrs lease commencing from 2008,22,Outside Central Region,06 to 10
ONE DUCHESS,"2,100,000",882.65,"2,379",Dec-22,DUCHESS ROAD,Resale,Strata,82,"25,610",-,Apartment,1,999 yrs lease commencing from 1875,10,Core Central Region,01 to 05
THE STERLING,"2,100,000","1,001.05","2,098",Dec-22,BUKIT TIMAH ROAD,Resale,Strata,93,"22,581",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
SIMS URBAN OASIS,"796,000",462.85,"1,720",Dec-22,SIMS DRIVE,Resale,Strata,43,"18,512",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15
NEW FUTURA,"12,000,000","2,691","4,459",Dec-22,LEONIE HILL ROAD,Resale,Strata,250,"48,000",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
CAPE ROYALE,"4,162,000","1,905.23","2,185",Dec-22,COVE WAY,Resale,Strata,177,"23,514",-,Condominium,1,99 yrs lease commencing from 2008,04,Core Central Region,01 to 05
ASTORIA PARK,"1,080,000",850.36,"1,270",Dec-22,LORONG MYDIN,Resale,Strata,79,"13,671",-,Condominium,1,99 yrs lease commencing from 1993,14,Outside Central Region,01 to 05
THE RIVERINE BY THE PARK,"2,620,000","1,302.44","2,012",Dec-22,KALLANG ROAD,Resale,Strata,121,"21,653",-,Apartment,1,Freehold,12,Rest of Central Region,21 to 25
OASIS GARDEN,"3,330,000","2,325.02","1,432",Dec-22,JALAN BUNGA RAMPAI,Resale,Strata,216,"15,417",-,Condominium,1,Freehold,19,Rest of Central Region,16 to 20
THE MILTONIA RESIDENCES,"1,550,000","1,517.72","1,021",Dec-22,MILTONIA CLOSE,Resale,Strata,141,"10,993",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
UNITED MANSION,"1,950,000","1,237.86","1,575",Dec-22,EAST COAST ROAD,Resale,Strata,115,"16,957",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SKY HABITAT,"1,280,000",710.42,"1,802",Dec-22,BISHAN STREET 15,Resale,Strata,66,"19,394",-,Condominium,1,99 yrs lease commencing from 2011,20,Rest of Central Region,26 to 30
OLEANDER TOWERS,"1,330,000","1,151.75","1,155",Dec-22,LORONG 1 TOA PAYOH,Resale,Strata,107,"12,430",-,Apartment,1,99 yrs lease commencing from 1995,12,Rest of Central Region,01 to 05
MONTEREY PARK CONDOMINIUM,"2,080,000","1,367.03","1,522",Dec-22,WEST COAST RISE,Resale,Strata,127,"16,378",-,Condominium,1,999 yrs lease commencing from 1885,05,Outside Central Region,01 to 05
CASTLE GREEN,"1,280,000","1,302.44",983,Dec-22,YIO CHU KANG ROAD,Resale,Strata,121,"10,579",-,Condominium,1,99 yrs lease commencing from 1993,26,Outside Central Region,01 to 05
THE QUARTZ,"1,280,000","1,065.64","1,201",Dec-22,COMPASSVALE BOW,Resale,Strata,99,"12,929",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,06 to 10
THE JADE,"1,630,000","1,334.74","1,221",Dec-22,BUKIT BATOK CENTRAL LINK,Resale,Strata,124,"13,145",-,Condominium,1,99 yrs lease commencing from 2001,23,Outside Central Region,11 to 15
THE CENTRIS,"1,320,000",979.52,"1,348",Dec-22,JURONG WEST CENTRAL 3,Resale,Strata,91,"14,505",-,Apartment,1,99 yrs lease commencing from 2006,22,Outside Central Region,06 to 10
TREVISTA,"2,100,000","1,280.92","1,639",Dec-22,LORONG 3 TOA PAYOH,Resale,Strata,119,"17,647",-,Condominium,1,99 yrs lease commencing from 2008,12,Rest of Central Region,21 to 25
WATERFRONT GOLD,"1,260,000",893.41,"1,410",Dec-22,BEDOK RESERVOIR ROAD,Resale,Strata,83,"15,181",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,06 to 10
YISHUN SAPPHIRE,"1,150,000","1,216.33",945,Dec-22,CANBERRA DRIVE,Resale,Strata,113,"10,177",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"680,000",473.62,"1,436",Dec-22,UPPER SERANGOON VIEW,Resale,Strata,44,"15,455",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
SPOTTISWOODE RESIDENCES,"1,300,000",602.78,"2,157",Dec-22,SPOTTISWOODE PARK ROAD,Resale,Strata,56,"23,214",-,Condominium,1,Freehold,02,Rest of Central Region,06 to 10
LAKEVIEW ESTATE,"1,510,000","1,614.6",935,Dec-22,UPPER THOMSON ROAD,Resale,Strata,150,"10,067",-,Apartment,1,99 yrs lease commencing from 1977,20,Rest of Central Region,01 to 05
IVORY HEIGHTS,"1,685,000","1,668.42","1,010",Dec-22,JURONG EAST STREET 13,Resale,Strata,155,"10,871",-,Condominium,1,100 yrs lease commencing from 1986,22,Outside Central Region,01 to 05
MARTIN PLACE RESIDENCES,"3,580,000","1,420.85","2,520",Dec-22,MARTIN PLACE,Resale,Strata,132,"27,121",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
CLOVER BY THE PARK,"2,238,000","1,571.54","1,424",Dec-22,BISHAN STREET 25,Resale,Strata,146,"15,329",-,Condominium,1,99 yrs lease commencing from 2007,20,Rest of Central Region,01 to 05
ROYALGREEN,"1,982,050",721.19,"2,748",Dec-22,ANAMALAI AVENUE,Resale,Strata,67,"29,583",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
PATERSON SUITES,"13,800,000","6,662.92","2,071",Dec-22,PATERSON ROAD,Resale,Strata,619,"22,294",-,Condominium,1,Freehold,09,Core Central Region,21 to 25
CITY LOFT,"660,000",376.74,"1,752",Dec-22,RACE COURSE ROAD,Resale,Strata,35,"18,857",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
FARRER PARK SUITES,"660,000",430.56,"1,533",Dec-22,OWEN ROAD,Resale,Strata,40,"16,500",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
THE ABERDEEN,"1,788,000","1,302.44","1,373",Dec-22,JALAN TAMAN,Resale,Strata,121,"14,777",-,Condominium,1,Freehold,12,Rest of Central Region,01 to 05
KALLANG RIVERSIDE,"1,550,000",516.67,"3,000",Dec-22,KAMPONG BUGIS,Resale,Strata,48,"32,292",-,Apartment,1,Freehold,12,Rest of Central Region,26 to 30
J GATEWAY,"1,300,000",678.13,"1,917",Dec-22,GATEWAY DRIVE,Resale,Strata,63,"20,635",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,11 to 15
KINGSFORD . HILLVIEW PEAK,"725,000",527.44,"1,375",Dec-22,HILLVIEW RISE,Resale,Strata,49,"14,796",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,06 to 10
KENTISH LODGE,"1,450,000","1,302.44","1,113",Dec-22,OXFORD ROAD,Resale,Strata,121,"11,983",-,Apartment,1,99 yrs lease commencing from 1995,08,Rest of Central Region,01 to 05
THE METROPOLITAN CONDOMINIUM,"1,320,000",839.59,"1,572",Dec-22,ALEXANDRA VIEW,Resale,Strata,78,"16,923",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,01 to 05
HIGH PARK RESIDENCES,"1,290,000",947.23,"1,362",Dec-22,FERNVALE ROAD,Resale,Strata,88,"14,659",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,01 to 05
HILLION RESIDENCES,"800,000",462.85,"1,728",Dec-22,JELEBU ROAD,Resale,Strata,43,"18,605",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,16 to 20
ICON,"1,870,000","1,173.28","1,594",Dec-22,GOPENG STREET,Resale,Strata,109,"17,156",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,36 to 40
PEBBLE BAY,"3,900,000","2,335.79","1,670",Dec-22,TANJONG RHU ROAD,Resale,Strata,217,"17,972",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
JUPITER 18,"1,300,000","1,108.69","1,173",Dec-22,LORONG 102 CHANGI,Resale,Strata,103,"12,621",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
RIVEREDGE,"2,680,000","1,593.07","1,682",Dec-22,SAMPAN PLACE,Resale,Strata,148,"18,108",-,Condominium,1,99 yrs lease commencing from 2004,15,Rest of Central Region,11 to 15
CASTLE GREEN,"1,480,000","1,280.92","1,155",Dec-22,YIO CHU KANG ROAD,Resale,Strata,119,"12,437",-,Condominium,1,99 yrs lease commencing from 1993,26,Outside Central Region,01 to 05
SIGNATURE PARK,"1,638,000","1,054.87","1,553",Dec-22,TOH TUCK ROAD,Resale,Strata,98,"16,714",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
RIVERSAILS,"1,650,000","1,367.03","1,207",Dec-22,UPPER SERANGOON CRESCENT,Resale,Strata,127,"12,992",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
LA FIESTA,"1,075,000",731.95,"1,469",Dec-22,SENGKANG SQUARE,Resale,Strata,68,"15,809",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
STARVILLE,"1,400,000","1,216.33","1,151",Dec-22,LENGKONG TIGA,Resale,Strata,113,"12,389",-,Condominium,1,Freehold,14,Outside Central Region,06 to 10
TRELLIS TOWERS,"2,000,000","1,140.98","1,753",Dec-22,LORONG 1 TOA PAYOH,Resale,Strata,106,"18,868",-,Condominium,1,Freehold,12,Rest of Central Region,26 to 30
PARK EAST,"2,650,000","1,689.95","1,568",Dec-22,JALAN TUA KONG,Resale,Strata,157,"16,879",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
MOUNTBATTEN SUITES,"715,000",484.38,"1,476",Dec-22,MOUNTBATTEN ROAD,Resale,Strata,45,"15,889",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SANCTUARY GREEN,"2,035,000","1,356.26","1,500",Dec-22,TANJONG RHU ROAD,Resale,Strata,126,"16,151",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
LEEDON RESIDENCE,"2,680,000","1,044.11","2,567",Dec-22,LEEDON HEIGHTS,Resale,Strata,97,"27,629",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
QUINTERRA,"2,930,000","1,786.82","1,640",Dec-22,HOLLAND ROAD,Resale,Strata,166,"17,651",-,Apartment,1,99 yrs lease commencing from 2006,10,Core Central Region,06 to 10
THE SUNNY SPRING,"1,650,000","1,065.64","1,548",Dec-22,LORONG 40 GEYLANG,Resale,Strata,99,"16,667",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
PRINCIPAL GARDEN,"1,720,000",807.3,"2,131",Dec-22,PRINCE CHARLES CRESCENT,Resale,Strata,75,"22,933",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,16 to 20
STARS OF KOVAN,"1,260,000",742.72,"1,696",Dec-22,UPPER SERANGOON ROAD,Resale,Strata,69,"18,261",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,01 to 05
THE CREST,"2,830,000","1,517.72","1,865",Dec-22,PRINCE CHARLES CRESCENT,Resale,Strata,141,"20,071",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,16 to 20
SOPHIA HILLS,"1,460,000",710.42,"2,055",Dec-22,MOUNT SOPHIA,Resale,Strata,66,"22,121",-,Condominium,1,99 yrs lease commencing from 2013,09,Core Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"3,450,000","1,506.96","2,289",Dec-22,KEPPEL BAY VIEW,Resale,Strata,140,"24,643",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,31 to 35
CASA EMERALD,"1,250,000","1,044.11","1,197",Dec-22,LORONG 32 GEYLANG,Resale,Strata,97,"12,887",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
ONE AMBER,"2,680,000","1,259.39","2,128",Dec-22,AMBER GARDENS,Resale,Strata,117,"22,906",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
THE GARDENS AT BISHAN,"2,090,000","1,517.72","1,377",Dec-22,SIN MING WALK,Resale,Strata,141,"14,823",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,01 to 05
LEONIE SUITES,"1,080,000",688.9,"1,568",Dec-22,LEONIE HILL,Resale,Strata,64,"16,875",-,Apartment,1,99 yrs lease commencing from 2002,09,Core Central Region,06 to 10
PALM GARDENS,"1,068,800","1,205.57",887,Dec-22,HONG SAN WALK,Resale,Strata,112,"9,543",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,06 to 10
D'NEST,"705,000",484.38,"1,455",Dec-22,PASIR RIS GROVE,Resale,Strata,45,"15,667",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15
VUE 8 RESIDENCE,"700,000",473.62,"1,478",Dec-22,PASIR RIS HEIGHTS,Resale,Strata,44,"15,909",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
D' DALVEY,"1,908,000",958,"1,992",Dec-22,DALVEY ESTATE,Resale,Strata,89,"21,438",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
THE CLEARWATER,"1,200,000",979.52,"1,225",Dec-22,BEDOK RESERVOIR VIEW,Resale,Strata,91,"13,187",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
THE LUXURIE,"1,145,000","1,001.05","1,144",Dec-22,COMPASSVALE ROAD,Resale,Strata,93,"12,312",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
PARC VISTA,"1,390,000","1,259.39","1,104",Dec-22,CORPORATION ROAD,Resale,Strata,117,"11,880",-,Condominium,1,99 yrs lease commencing from 1995,22,Outside Central Region,11 to 15
GRANDE VISTA,"2,050,000","1,646.89","1,245",Dec-22,CACTUS DRIVE,Resale,Strata,153,"13,399",-,Condominium,1,999 yrs lease commencing from 1886,28,Outside Central Region,01 to 05
SPRINGVALE,"1,480,000","1,108.69","1,335",Dec-22,EAST COAST ROAD,Resale,Strata,103,"14,369",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
BALLOTA PARK CONDOMINIUM,"1,280,000","1,420.85",901,Dec-22,MARIAM WAY,Resale,Strata,132,"9,697",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
PALM MANSIONS,"1,520,000","1,097.93","1,384",Dec-22,PASIR PANJANG ROAD,Resale,Strata,102,"14,902",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
# 1 SUITES,"725,000",624.31,"1,161",Dec-22,LORONG 20 GEYLANG,Resale,Strata,58,"12,500",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
ST THOMAS SUITES,"4,788,000","2,012.87","2,379",Dec-22,ST. THOMAS WALK,Resale,Strata,187,"25,604",-,Condominium,1,Freehold,09,Core Central Region,26 to 30
VILLA MARINA,"1,690,000","1,280.92","1,319",Dec-22,JALAN SEMPADAN,Resale,Strata,119,"14,202",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
THE ORCHARD RESIDENCES,"8,000,000","2,464.96","3,245",Dec-22,ORCHARD BOULEVARD,Resale,Strata,229,"34,934",-,Apartment,1,99 yrs lease commencing from 2006,09,Core Central Region,31 to 35
PARC VERA,"1,700,000","1,410.08","1,206",Dec-22,HOUGANG STREET 32,Resale,Strata,131,"12,977",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
PARC RIVIERA,"1,090,000",710.42,"1,534",Dec-22,WEST COAST VALE,Resale,Strata,66,"16,515",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,16 to 20
EASTSIDE LOFT,"2,100,000","1,388.56","1,512",Dec-22,TANJONG KATONG ROAD,Resale,Strata,129,"16,279",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SYMPHONY SUITES,"1,240,000","1,022.58","1,213",Dec-22,YISHUN CLOSE,Resale,Strata,95,"13,053",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
MARINA BAY RESIDENCES,"1,500,000",742.72,"2,020",Dec-22,MARINA BOULEVARD,Resale,Strata,69,"21,739",-,Condominium,1,99 yrs lease commencing from 2005,01,Core Central Region,21 to 25
THE ARCADIA,"4,600,000","3,821.22","1,204",Dec-22,ARCADIA ROAD,Resale,Strata,355,"12,958",-,Condominium,1,99 yrs lease commencing from 1979,11,Core Central Region,01 to 05
38 I SUITES,"860,000",484.38,"1,775",Dec-22,IPOH LANE,Resale,Strata,45,"19,111",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
LAGUNA PARK,"1,838,000","1,614.6","1,138",Dec-22,MARINE PARADE ROAD,Resale,Strata,150,"12,253",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,06 to 10
WATERBANK AT DAKOTA,"1,510,000",882.65,"1,711",Dec-22,DAKOTA CRESCENT,Resale,Strata,82,"18,415",-,Condominium,1,99 yrs lease commencing from 2009,14,Rest of Central Region,06 to 10
RIVERGATE,"4,300,000","1,539.25","2,794",Dec-22,ROBERTSON QUAY,Resale,Strata,143,"30,070",-,Apartment,1,Freehold,09,Core Central Region,16 to 20
SANT RITZ,"1,390,000","1,237.86","1,123",Dec-22,PHENG GECK AVENUE,Resale,Strata,115,"12,087",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
THE PALETTE,"1,210,000",882.65,"1,371",Dec-22,PASIR RIS GROVE,Resale,Strata,82,"14,756",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15
WALLICH RESIDENCE,"5,250,000","1,259.39","4,169",Dec-22,WALLICH STREET,Resale,Strata,117,"44,872",-,Apartment,1,99 yrs lease commencing from 2011,02,Core Central Region,56 to 60
AMBER RESIDENCES,"2,570,000","1,248.62","2,058",Dec-22,AMBER ROAD,Resale,Strata,116,"22,155",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
TREE HOUSE,"2,088,888","1,969.81","1,060",Dec-22,CHESTNUT AVENUE,Resale,Strata,183,"11,415",-,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,21 to 25
LA FIESTA,"1,218,000",828.83,"1,470",Dec-22,SENGKANG SQUARE,Resale,Strata,77,"15,818",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
RIVERSAILS,"1,190,000",947.23,"1,256",Dec-22,UPPER SERANGOON CRESCENT,Resale,Strata,88,"13,523",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
D'LEEDON,"3,150,000","1,711.48","1,841",Dec-22,LEEDON HEIGHTS,Resale,Strata,159,"19,811",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,16 to 20
NV RESIDENCES,"890,000",904.18,984,Dec-22,PASIR RIS GROVE,Resale,Strata,84,"10,595",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"1,260,000",958,"1,315",Dec-22,UPPER SERANGOON VIEW,Resale,Strata,89,"14,157",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
COMPASS HEIGHTS,"1,680,000","2,314.26",726,Dec-22,SENGKANG SQUARE,Resale,Strata,215,"7,814",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"3,000,000","1,593.07","1,883",Dec-22,KEPPEL BAY VIEW,Resale,Strata,148,"20,270",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
THE MAYFAIR,"1,170,000","1,162.51","1,006",Dec-22,JURONG EAST STREET 32,Resale,Strata,108,"10,833",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,01 to 05
HILLVIEW GREEN,"1,620,000","1,270.15","1,275",Dec-22,HUME AVENUE,Resale,Strata,118,"13,729",-,Condominium,1,999 yrs lease commencing from 1883,21,Outside Central Region,01 to 05
THE ESTUARY,"1,270,000","1,280.92",991,Dec-22,YISHUN AVENUE 1,Resale,Strata,119,"10,672",-,Condominium,1,99 yrs lease commencing from 2008,27,Outside Central Region,01 to 05
STRATUM,"620,000",452.09,"1,371",Dec-22,ELIAS ROAD,Resale,Strata,42,"14,762",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
SIGNATURE PARK,"2,150,000","1,420.85","1,513",Dec-22,TOH TUCK ROAD,Resale,Strata,132,"16,288",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
RIDGEWOOD,"2,850,000","1,743.77","1,634",Dec-22,RIDGEWOOD CLOSE,Resale,Strata,162,"17,593",-,Condominium,1,999 yrs lease commencing from 1885,10,Core Central Region,01 to 05
Q BAY RESIDENCES,"760,000",516.67,"1,471",Dec-22,TAMPINES STREET 86,Resale,Strata,48,"15,833",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
THE BEACON,"1,610,000",968.76,"1,662",Dec-22,CANTONMENT ROAD,Resale,Strata,90,"17,889",-,Apartment,1,99 yrs lease commencing from 2004,02,Rest of Central Region,11 to 15
ASPEN HEIGHTS,"2,300,000","1,130.22","2,035",Dec-22,RIVER VALLEY ROAD,Resale,Strata,105,"21,905",-,Condominium,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
CRESCENDO BUILDING,"1,570,000","1,302.44","1,205",Dec-22,UPPER EAST COAST ROAD,Resale,Strata,121,"12,975",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
ECO,"1,265,000",839.59,"1,507",Dec-22,BEDOK SOUTH AVENUE 3,Resale,Strata,78,"16,218",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
MI CASA,"1,235,000","1,097.93","1,125",Dec-22,CHOA CHU KANG AVENUE 3,Resale,Strata,102,"12,108",-,Condominium,1,99 yrs lease commencing from 2008,23,Outside Central Region,11 to 15
THE WARREN,"1,560,000","1,474.67","1,058",Dec-22,CHOA CHU KANG LOOP,Resale,Strata,137,"11,387",-,Condominium,1,99 yrs lease commencing from 2001,23,Outside Central Region,06 to 10
VACANZA @ EAST,"1,080,000",839.59,"1,286",Dec-22,LENGKONG TUJOH,Resale,Strata,78,"13,846",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
PARC OLYMPIA,"1,378,000","1,323.97","1,041",Dec-22,FLORA DRIVE,Resale,Strata,123,"11,203",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10
RIVER PLACE,"1,300,000",785.77,"1,654",Dec-22,HAVELOCK ROAD,Resale,Strata,73,"17,808",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,06 to 10
