Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
FOREST WOODS,"1,680,000",925.7,"1,815",Jul-22,LORONG LEW LIAN,Resale,Strata,86,"19,535",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
KENSINGTON SQUARE,"670,000",430.56,"1,556",Jul-22,JALAN LOKAM,Resale,Strata,40,"16,750",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
PALM ISLES,"1,075,000",990.29,"1,086",Jul-22,FLORA DRIVE,Resale,Strata,92,"11,685",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,06 to 10
BUTTERWORTH 8,"2,380,000","1,313.21","1,812",Jul-22,BUTTERWORTH LANE,Resale,Strata,122,"19,508",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
8 @ MOUNT SOPHIA,"1,362,000",893.41,"1,524",Jul-22,MOUNT SOPHIA,Resale,Strata,83,"16,410",-,Condominium,1,103 yrs lease commencing from 2002,09,Core Central Region,06 to 10
EDELWEISS PARK CONDOMINIUM,"1,130,000","1,054.87","1,071",Jul-22,FLORA ROAD,Resale,Strata,98,"11,531",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
THE SANTORINI,"960,000",721.19,"1,331",Jul-22,TAMPINES STREET 86,Resale,Strata,67,"14,328",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,11 to 15
BOTANIQUE AT BARTLEY,"1,092,000",656.6,"1,663",Jul-22,UPPER PAYA LEBAR ROAD,Resale,Strata,61,"17,902",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
REFLECTIONS AT KEPPEL BAY,"2,175,000","1,044.11","2,083",Jul-22,KEPPEL BAY VIEW,Resale,Strata,97,"22,423",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,11 to 15
THE ROCHESTER RESIDENCES,"1,850,000","1,205.57","1,535",Jul-22,ROCHESTER DRIVE,Resale,Strata,112,"16,518",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,11 to 15
D'LEEDON,"1,970,000","1,076.4","1,830",Jul-22,LEEDON HEIGHTS,Resale,Strata,100,"19,700",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,21 to 25
LA FLEUR,"615,000",419.8,"1,465",Jul-22,LORONG 26 GEYLANG,Resale,Strata,39,"15,769",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
ONE AMBER,"1,190,000",570.49,"2,086",Jul-22,AMBER GARDENS,Resale,Strata,53,"22,453",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
ARCHIPELAGO,"712,000",527.44,"1,350",Jul-22,BEDOK RESERVOIR ROAD,Resale,Strata,49,"14,531",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
THE NAUTICAL,"1,042,888",968.76,"1,077",Jul-22,JALAN SENDUDOK,Resale,Strata,90,"11,588",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"2,822,000","2,045.16","1,380",Jul-22,LORONG HOW SUN,Resale,Strata,190,"14,853",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
SUITES @ PAYA LEBAR,"885,000",613.55,"1,442",Jul-22,UPPER PAYA LEBAR ROAD,Resale,Strata,57,"15,526",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
ESPADA,"930,000",355.21,"2,618",Jul-22,ST. THOMAS WALK,Resale,Strata,33,"28,182",-,Apartment,1,Freehold,09,Core Central Region,16 to 20
YEWTEE RESIDENCES,"1,215,000","1,173.28","1,036",Jul-22,CHOA CHU KANG NORTH 6,Resale,Strata,109,"11,147",-,Apartment,1,99 yrs lease commencing from 2006,23,Outside Central Region,01 to 05
COMPASS HEIGHTS,"745,000",753.48,989,Jul-22,SENGKANG SQUARE,Resale,Strata,70,"10,643",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05
RIVERVALE CREST,"990,000","1,205.57",821,Jul-22,RIVERVALE CRESCENT,Resale,Strata,112,"8,839",-,Apartment,1,99 yrs lease commencing from 1997,19,Outside Central Region,06 to 10
THE TENNERY,"788,000",613.55,"1,284",Jul-22,WOODLANDS ROAD,Resale,Strata,57,"13,825",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,06 to 10
CARISSA PARK CONDOMINIUM,"1,438,888","1,323.97","1,087",Jul-22,FLORA DRIVE,Resale,Strata,123,"11,698",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
RIVERBANK @ FERNVALE,"715,000",495.14,"1,444",Jul-22,FERNVALE CLOSE,Resale,Strata,46,"15,543",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,16 to 20
THE HUNTINGTON,"2,070,000","1,044.11","1,983",Jul-22,MOULMEIN ROAD,Resale,Strata,97,"21,340",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
THE SHELFORD,"4,150,000","2,174.33","1,909",Jul-22,SHELFORD ROAD,Resale,Strata,202,"20,545",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
SKIES MILTONIA,"820,000",742.72,"1,104",Jul-22,MILTONIA CLOSE,Resale,Strata,69,"11,884",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
THE ESTIVA,"1,950,000","1,560.78","1,249",Jul-22,PASIR PANJANG ROAD,Resale,Strata,145,"13,448",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
TROPICAL SPRING,"1,140,000","1,356.26",841,Jul-22,SIMEI STREET 4,Resale,Strata,126,"9,048",-,Condominium,1,99 yrs lease commencing from 1997,18,Outside Central Region,01 to 05
SINGA HILLS,"1,350,000",871.88,"1,548",Jul-22,JALAN SINGA,Resale,Strata,81,"16,667",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
